Model,ROUGE-1,ROUGE-2,ROUGE-L,Improvement (R-1)
Base Llama 3.2-1B,0.2547183245643275,0.04550168214389944,0.12257811590129357,-
Fine-tuned (Medical),0.3358885394995984,0.18838555587183892,0.23672685129484478,+8.12%
